location,size,total_sqft,bath,price,bhk
Haralur Road,2 BHK,1140.0,2.0,58.0,2
Basava Nagar,1 BHK,550.0,1.0,16.0,1
Bannerghatta Road,3 BHK,1450.0,3.0,44.0,3
Kanakpura Road,2 BHK,700.0,2.0,35.07,2
Yelahanka,2 BHK,1050.0,2.0,45.0,2
Volagerekallahalli,2 BHK,1492.0,2.0,65.0,2
Whitefield,4 BHK,2856.0,5.0,157.5,4
Sarjapur  Road,3 BHK,1489.0,2.0,82.0,3
Haralur Road,2 BHK,1140.0,2.0,42.0,2
Lavakusha Nagar,3 BHK,1431.0,3.0,65.0,3
Lingadheeranahalli,3 BHK,1682.0,3.0,114.0,3
Panathur,2 BHK,1198.0,2.0,86.26,2
Outer Ring Road East,3 Bedroom,3664.0,3.0,325.0,3
Sarjapur  Road,3 BHK,1550.0,2.0,69.75,3
Sarjapur  Road,1 BHK,539.0,1.0,45.0,1
Thubarahalli,2 BHK,1200.0,2.0,79.55,2
Sarjapur  Road,3 BHK,1186.0,2.0,40.0,3
Thanisandra,2 BHK,1039.0,2.0,39.5,2
Malleshwaram,3 BHK,2520.0,3.0,150.0,3
Brookefield,2 BHK,1225.0,2.0,66.5,2
Bommanahalli,2 BHK,1350.0,2.0,72.0,2
Vittal Mallya Road,2 BHK,1030.0,2.0,300.0,2
Brindavan Nagar,3 BHK,1520.0,3.0,111.0,3
Dena Bank Colony,3 BHK,1391.0,2.0,64.5,3
Rachenahalli,2 BHK,1200.0,2.0,50.0,2
Yelahanka,2 BHK,1322.0,2.0,80.0,2
Whitefield,3 BHK,2173.0,3.0,128.0,3
Sarjapur  Road,2 BHK,1200.0,2.0,75.0,2
Devanahalli,1 BHK,698.5,1.0,28.57,1
Seetharampalya,2 BHK,1250.0,2.0,90.0,2
Chandapura,2 BHK,1025.0,2.0,27.68,2
Whitefield,3 BHK,1435.0,3.0,45.0,3
Electronics City Phase 1,2 BHK,1175.0,2.0,64.98,2
Doddabidrakallu,2 BHK,900.0,2.0,33.0,2
Jigani,4 Bedroom,3170.0,5.0,230.0,4
Shanti Nagar,3 BHK,1602.0,2.0,170.0,3
Thanisandra,2 BHK,1220.0,2.0,42.0,2
Rajaji Nagar,3 BHK,2500.0,3.0,350.0,3
Sarjapur  Road,3 BHK,2145.0,3.0,180.0,3
Bannerghatta Road,2 BHK,960.0,2.0,58.0,2
NGR Layout,1 BHK,907.0,1.0,38.0,1
Old Madras Road,2 BHK,1210.0,2.0,74.0,2
Jnana Ganga Nagar,2 BHK,1230.0,2.0,70.0,2
5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3
Kenchenahalli,2 BHK,1150.0,2.0,58.0,2
Sarjapur,3 BHK,1404.0,2.0,53.35,3
Yelahanka,2 BHK,1285.0,2.0,56.0,2
Hormavu,2 BHK,1018.0,2.0,50.8,2
Ejipura,3 BHK,1600.0,3.0,95.0,3
9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2
Akshaya Nagar,3 BHK,1435.0,3.0,53.0,3
CV Raman Nagar,3 BHK,1590.0,2.0,85.0,3
Kengeri,3 BHK,1741.0,3.0,80.0,3
JP Nagar,3 BHK,1750.0,3.0,123.0,3
Tumkur Road,2 BHK,1027.0,2.0,60.0,2
Dollar Scheme Colony,4 BHK,3463.0,6.0,310.0,4
Hebbal,4 BHK,2790.0,5.0,198.0,4
Sahakara Nagar,2 BHK,1000.0,2.0,60.0,2
Varthur,2 BHK,1120.0,2.0,44.24,2
Kasturi Nagar,3 BHK,1570.0,3.0,110.0,3
Koramangala,3 BHK,1500.0,3.0,135.0,3
Frazer Town,2 BHK,1315.0,2.0,140.0,2
Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2
Banashankari,2 BHK,1105.0,2.0,90.0,2
Whitefield,1 BHK,905.0,1.0,62.0,1
Kudlu Gate,2 BHK,1185.0,2.0,50.0,2
Rayasandra,3 BHK,1458.0,3.0,60.0,3
Hormavu,3 BHK,1555.0,3.0,75.0,3
Devi Nagar,2 BHK,1200.0,2.0,45.0,2
Sarjapur  Road,2 BHK,1308.0,2.0,58.86,2
Kudlu,2 BHK,1024.0,2.0,44.0,2
Parappana Agrahara,2 BHK,1194.0,2.0,47.0,2
Seegehalli,3 BHK,1639.0,3.0,120.0,3
Whitefield,3 BHK,1870.0,3.0,138.0,3
Hennur Road,2 BHK,1232.0,2.0,87.0,2
Kasavanhalli,3 BHK,1719.0,3.0,184.0,3
Chandapura,2 BHK,975.0,2.0,24.86,2
Jakkur,2 BHK,1230.0,2.0,79.0,2
Kodigehaali,3 BHK,2120.0,3.0,177.0,3
Electronic City,2 BHK,1096.0,2.0,40.55,2
Horamavu Agara,2 BHK,1107.83,2.0,41.51,2
Sarjapur  Road,2 BHK,1320.0,2.0,115.0,2
8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3
Whitefield,2 BHK,1320.0,2.0,99.26,2
Whitefield,3 BHK,2901.0,4.0,190.0,3
GM Palaya,3 BHK,1315.0,2.0,65.0,3
VGP Layout,2 BHK,1000.0,2.0,44.0,2
Hosakerehalli,3 BHK,1596.0,3.0,79.8,3
Whitefield,4 Bedroom,2403.0,4.0,270.0,4
Old Madras Road,3 BHK,1350.0,3.0,47.25,3
Sultan Palaya,3 BHK,1713.0,3.0,125.0,3
Ittamadu,2 BHK,1200.0,2.0,43.0,2
Binny Pete,3 BHK,1795.0,3.0,139.0,3
Kereguddadahalli,1 BHK,600.0,1.0,19.5,1
Hegde Nagar,3 BHK,1965.0,4.0,132.0,3
Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2
Jigani,2 BHK,914.0,2.0,55.0,2
Whitefield,2 BHK,1485.0,2.0,96.51,2
Kanakapura,3 BHK,1460.0,2.0,43.79,3
Thanisandra,2 BHK,1450.0,2.0,57.0,2
HSR Layout,3 BHK,1360.0,2.0,53.0,3
Uttarahalli,2 BHK,1125.0,2.0,48.0,2
7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3
Green View Layout,2 BHK,1107.0,2.0,40.0,2
Bhoganhalli,3 BHK,1760.0,3.0,128.0,3
BTM Layout,3 BHK,1600.0,3.0,112.0,3
Whitefield,3 BHK,1755.0,3.0,101.0,3
Hulimavu,2 BHK,1200.0,2.0,50.0,2
Chokkanahalli,2 BHK,1266.67,2.0,69.0,2
Whitefield,4 Bedroom,4800.0,5.0,550.0,4
Mysore Road,2 BHK,1029.5,2.0,50.855,2
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,40.0,2
Arekere,4 BHK,2710.0,6.0,142.0,4
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.0,2
Electronic City,2 BHK,1017.0,2.0,27.0,2
Sarjapur  Road,2 BHK,920.0,2.0,40.0,2
Munnekollal,3 BHK,1750.0,3.0,86.5,3
Dasanapura,2 BHK,1163.0,2.0,65.0,2
7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3
Kundalahalli Colony,3 BHK,1800.0,3.0,95.0,3
CV Raman Nagar,2 BHK,1100.0,2.0,58.0,2
Ganga Nagar,3 BHK,1410.0,3.0,65.0,3
Begur Road,2 BHK,1200.0,2.0,45.6,2
Whitefield,3 BHK,1608.0,2.0,63.0,3
Kasavanhalli,1 BHK,770.0,1.0,43.82,1
Ardendale,3 BHK,1777.26,3.0,105.0,3
Kanakpura Road,2 BHK,1339.0,2.0,85.0,2
Chennappa Layout,2 BHK,1080.0,2.0,44.8,2
Hulimavu,3 BHK,1450.0,3.0,72.0,3
Sarjapur  Road,3 BHK,1163.0,2.0,62.0,3
Hebbal,2 BHK,1299.0,2.0,100.0,2
Yelahanka,4 BHK,2600.0,4.0,175.0,4
KR Puram,2 BHK,1140.0,2.0,43.32,2
Kanakpura Road,3 BHK,1900.0,3.0,125.0,3
Electronic City,2 BHK,1110.0,2.0,39.95,2
Nagavarapalya,1 BHK,705.0,1.0,57.0,1
HBR Layout,2 BHK,1089.0,2.0,60.0,2
Kereguddadahalli,2 BHK,1080.0,2.0,32.0,2
Thanisandra,2 BHK,1093.0,2.0,68.1,2
Hegde Nagar,3 BHK,1703.0,3.0,125.0,3
Hebbal,2 BHK,1200.0,2.0,60.0,2
Marathahalli,3 BHK,1690.0,3.0,116.0,3
Yelahanka,2 BHK,1305.0,2.0,78.0,2
Stage-4 Bommanahalli,2 BHK,1194.0,2.0,55.0,2
Whitefield,3 BHK,2225.0,3.0,149.0,3
Ashirvad Colony,2 BHK,1022.0,2.0,57.0,2
Narayanapura,2 BHK,1153.0,2.0,45.0,2
Vidyaranyapura,3 BHK,1560.0,3.0,68.0,3
Billekahalli,2 BHK,1350.0,3.0,55.0,2
Chandapura,2 BHK,800.0,2.0,25.0,2
Electronic City,4 BHK,2093.0,4.0,104.0,4
Bannerghatta Road,2 BHK,1275.0,2.0,73.0,2
Begur Road,2 BHK,1215.0,2.0,43.13,2
Begur Road,3 BHK,1444.0,2.0,71.5,3
Vikram Nagar,2 BHK,950.0,2.0,38.0,2
Hennur,2 BHK,1231.0,2.0,50.0,2
Yeshwanthpur,3 BHK,1713.0,3.0,110.0,3
Sonnenahalli,3 BHK,1310.0,2.0,46.0,3
Jalahalli,2 BHK,790.0,2.0,49.5,2
Koramangala,3 BHK,1744.0,3.0,200.0,3
Whitefield,2 BHK,1250.0,2.0,82.0,2
Malleshwaram,3 BHK,2476.0,3.0,337.0,3
Subramanyapura,3 BHK,1260.0,2.0,76.0,3
Rajaji Nagar,3 BHK,1615.0,3.0,175.0,3
Electronic City,2 BHK,1025.0,2.0,53.9,2
Sarjapur  Road,3 BHK,1877.0,4.0,150.0,3
Lakshminarayana Pura,3 BHK,1649.0,3.0,150.0,3
Thigalarapalya,2 BHK,1418.0,2.0,105.0,2
Sarvabhouma Nagar,2 BHK,1012.0,2.0,42.0,2
Green Glen Layout,3 BHK,1680.0,4.0,95.0,3
Old Madras Road,2 BHK,1171.0,2.0,72.0,2
Tumkur Road,2 BHK,1027.0,2.0,68.62,2
Kanakapura,2 BHK,1090.0,2.0,38.15,2
Hennur Road,2 BHK,1232.0,2.0,74.0,2
Kanakpura Road,1 BHK,525.0,1.0,27.0,1
Choodasandra,3 BHK,1254.0,2.0,65.0,3
Kanakpura Road,3 BHK,1593.0,3.0,118.0,3
ITI Layout,2 BHK,1333.0,2.0,77.27,2
Raja Rajeshwari Nagar,3 BHK,1375.0,2.0,54.99,3
Ardendale,3 BHK,1650.0,3.0,82.0,3
Thanisandra,3 BHK,1430.0,2.0,51.48,3
Electronic City,2 BHK,940.0,2.0,54.0,2
Electronic City,1 BHK,435.0,1.0,21.0,1
Begur Road,2 BHK,1160.0,2.0,36.54,2
Electronic City,3 BHK,1500.0,2.0,77.5,3
Koramangala,3 BHK,1890.0,2.0,100.0,3
Seegehalli,3 Bedroom,3000.0,4.0,235.0,3
Tumkur Road,3 BHK,1459.0,2.0,95.0,3
Yelahanka,3 BHK,1711.0,3.0,85.61,3
Hoodi,2 BHK,1250.0,2.0,98.0,2
Chandapura,1 BHK,645.0,1.0,16.45,1
Rajaji Nagar,3 BHK,1776.0,3.0,190.0,3
Thigalarapalya,3 BHK,2072.0,4.0,160.0,3
Kundalahalli,3 Bedroom,1600.0,3.0,170.0,3
Kengeri Satellite Town,2 BHK,920.0,2.0,39.0,2
Chandapura,2 BHK,778.0,2.0,25.29,2
Electronic City,3 BHK,1631.0,3.0,80.0,3
Kanakpura Road,1 BHK,525.0,1.0,27.5,1
Jalahalli,3 BHK,1395.0,3.0,82.0,3
Devi Nagar,3 BHK,2000.0,3.0,105.0,3
Hennur Road,2 BHK,1232.0,2.0,66.0,2
Gubbalala,2 BHK,1205.0,2.0,70.0,2
Rajiv Nagar,4 BHK,2340.0,5.0,129.0,4
Rayasandra,3 BHK,1179.0,2.0,55.0,3
Kodigehaali,2 BHK,1013.0,2.0,51.0,2
Uttarahalli,2 BHK,1160.0,2.0,40.6,2
7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2
Samethanahalli,2 BHK,1069.0,2.0,55.0,2
Kyalasanahalli,3 Bedroom,1200.0,3.0,99.0,3
Marathahalli,2 BHK,1065.0,2.0,55.0,2
Lakshminarayana Pura,2 BHK,1395.0,2.0,75.0,2
Hebbal Kempapura,3 BHK,1725.0,2.0,165.0,3
Coconut Grove Layout,2 BHK,1007.0,2.0,43.0,2
Hebbal,3 BHK,1645.0,3.0,117.0,3
Mysore Road,2 BHK,940.0,2.0,43.61,2
Hebbal,3 BHK,2850.0,5.0,343.0,3
Kadabagere,2 BHK,675.0,1.0,15.0,2
Hebbal,2 BHK,1390.0,2.0,95.0,2
Lakshminarayana Pura,3 BHK,1500.0,3.0,104.0,3
Vijayanagar,3 BHK,2047.0,3.0,136.0,3
Jakkur,2 BHK,1202.0,2.0,79.0,2
Kodbisanhalli,2 BHK,1012.0,2.0,59.0,2
Gunjur,3 BHK,2132.0,3.0,80.0,3
Harlur,2 BHK,1331.0,2.0,88.0,2
Anand Nagar,2 Bedroom,1800.0,2.0,300.0,2
Akshaya Vana,3 BHK,1280.0,2.0,49.0,3
Balagere,2 BHK,1007.0,2.0,62.0,2
Thanisandra,3 BHK,1370.0,2.0,61.0,3
Kalkere,2 BHK,925.0,2.0,35.0,2
Attibele,1 BHK,450.0,1.0,12.5,1
Hennur Road,2 BHK,1341.0,2.0,95.0,2
Tumkur Road,2 BHK,992.0,2.0,60.0,2
Uttarahalli,2 BHK,1163.0,2.0,68.0,2
Sarjapur  Road,2 BHK,1229.0,2.0,70.0,2
Electronic City Phase II,2 BHK,1219.0,2.0,61.26,2
Raja Rajeshwari Nagar,3 BHK,1525.0,2.0,99.13,3
Kasavanhalli,2 BHK,1147.0,2.0,60.0,2
Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3
Nagarbhavi,2 BHK,1190.0,2.0,63.0,2
Jigani,3 BHK,1352.0,3.0,65.0,3
Uttarahalli,3 BHK,1330.0,2.0,39.9,3
Electronic City,2 BHK,1355.0,2.0,67.0,2
Ramamurthy Nagar,2 BHK,1200.0,2.0,46.0,2
Begur Road,3 BHK,1615.0,3.0,50.87,3
Devanahalli,2 BHK,1080.0,2.0,52.0,2
Gollahalli,2 BHK,1600.0,2.0,31.0,2
Electronic City,2 BHK,1200.0,2.0,34.0,2
Amruthahalli,3 BHK,1605.0,3.0,65.0,3
Kammanahalli,2 BHK,1200.0,2.0,80.0,2
Chandapura,3 BHK,1230.0,2.0,31.37,3
Devasthanagalu,2 BHK,946.0,2.0,45.0,2
Sarjapur  Road,3 BHK,1711.0,3.0,110.0,3
Chandapura,2 BHK,950.0,2.0,25.65,2
Kudlu Gate,3 BHK,1656.0,3.0,80.0,3
Uttarahalli,2 BHK,1075.0,2.0,46.76,2
LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1
Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2
Whitefield,2 BHK,1185.0,2.0,41.0,2
Marathahalli,3 BHK,1693.0,3.0,125.0,3
Dollars Layout,3 BHK,2456.0,3.0,220.0,3
Rajaji Nagar,3 BHK,2559.0,3.0,403.0,3
Uttarahalli,2 BHK,1155.0,2.0,40.6,2
KR Puram,2 BHK,1200.0,2.0,42.0,2
Janatha Colony,3 BHK,1439.0,3.0,57.23,3
Yelahanka,2 BHK,1315.0,2.0,75.0,2
Vijayanagar,2 BHK,1178.0,2.0,82.0,2
Mahadevpura,3 BHK,1400.0,2.0,65.8,3
Thanisandra,2 BHK,1093.0,2.0,72.0,2
Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2
1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3
Uttarahalli,2 BHK,1150.0,2.0,70.0,2
Whitefield,2 BHK,1173.0,2.0,78.2,2
Thanisandra,2 BHK,1140.0,2.0,39.0,2
Jakkur Plantation,3 BHK,1717.0,3.0,120.0,3
Hoodi,3 BHK,1370.0,3.0,67.0,3
Electronics City Phase 1,2 BHK,1025.0,2.0,90.0,2
Bellandur,2 BHK,1200.0,2.0,52.0,2
Thanisandra,2 BHK,1200.0,2.0,53.5,2
Whitefield,3 BHK,1740.0,4.0,130.0,3
Hennur Road,2 BHK,1232.0,2.0,88.0,2
Whitefield,4 BHK,5924.0,4.0,625.0,4
Veersandra,2 BHK,1250.0,2.0,50.0,2
Munivenkatppa Layout,2 BHK,1475.0,2.0,171.0,2
Bommanahalli,4 BHK,2100.0,4.0,85.0,4
Padmanabhanagar,2 BHK,1067.0,2.0,52.0,2
Sarjapur,3 BHK,1364.0,2.0,56.0,3
Sathya Layout,3 BHK,1504.0,2.0,102.0,3
Hennur Road,3 BHK,2365.0,4.0,175.0,3
Hebbal,2 BHK,1333.0,2.0,100.0,2
Thanisandra,3 BHK,1698.0,3.0,107.0,3
Raja Rajeshwari Nagar,2 BHK,1060.0,2.0,48.0,2
Hennur Road,2 BHK,1310.0,2.0,66.0,2
Marathahalli,3 BHK,1693.0,3.0,125.0,3
Jigani,3 BHK,1230.0,3.0,60.0,3
Devanahalli,3 Bedroom,1200.0,3.0,145.0,3
Munnekollal,3 BHK,1385.0,2.0,66.5,3
Tumkur Road,2 BHK,1066.0,2.0,52.5,2
Thanisandra,3 BHK,2293.0,3.0,80.26,3
7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2
Nagavarapalya,2 BHK,907.0,2.0,38.0,2
Varthur,3 BHK,1395.0,2.0,79.0,3
Kumbena Agrahara,2 BHK,1180.0,2.0,50.0,2
Hiremath Layout,3 BHK,1490.0,2.0,92.0,3
Yeshwanthpur,2 BHK,1144.0,2.0,67.0,2
Hormavu,2 BHK,1143.0,2.0,53.0,2
Karuna Nagar,3 Bedroom,2500.0,3.0,190.0,3
Whitefield,2 BHK,1216.0,2.0,75.0,2
Nallurhalli,2 BHK,1044.0,2.0,60.0,2
Prithvi Layout,2 BHK,1352.0,3.0,93.0,2
Bellandur,3 BHK,1785.0,3.0,120.0,3
Banashankari Stage V,3 BHK,1650.0,3.0,51.98,3
Whitefield,2 BHK,1060.0,2.0,35.0,2
Nagarbhavi,3 BHK,1523.0,2.0,56.0,3
Kanakpura Road,3 BHK,1591.0,3.0,122.0,3
Ashwath Nagar,3 BHK,1640.0,3.0,84.0,3
Yelahanka New Town,1 BHK,450.0,1.0,16.0,1
Bannerghatta Road,3 BHK,1305.0,2.0,60.0,3
Kaggadasapura,2 BHK,1240.0,2.0,45.0,2
Koramangala,2 BHK,1180.0,2.0,128.0,2
Bisuvanahalli,2 BHK,845.0,2.0,33.0,2
Channasandra,3 BHK,1310.0,2.0,45.0,3
Kambipura,2 BHK,883.0,2.0,37.0,2
Yelahanka,2 BHK,1390.0,2.0,70.21,2
Kenchenahalli,3 BHK,1280.0,2.0,69.0,3
Yelahanka,3 BHK,1614.0,3.0,95.0,3
Ambalipura,2 BHK,950.0,2.0,31.95,2
Akshaya Vana,2 BHK,1141.0,2.0,55.0,2
5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2
Doddathoguru,2 BHK,855.0,2.0,32.0,2
Chandapura,1 BHK,645.0,1.0,16.45,1
Chandapura,2 BHK,922.0,2.0,36.0,2
Nagadevanahalli,3 BHK,1240.0,2.0,65.0,3
Rajiv Gandhi Nagar,2 BHK,1293.0,2.0,75.0,2
Yelahanka New Town,3 BHK,1599.0,3.0,80.0,3
Nehru Nagar,2 BHK,967.0,2.0,41.1,2
Silver Springs Layout,3 BHK,1885.0,3.0,90.0,3
Sarjapur  Road,2 BHK,1050.0,2.0,63.5,2
Marathahalli,3 BHK,1595.0,3.0,88.0,3
Sarjapur  Road,2 BHK,1350.0,2.0,102.0,2
Hebbal,2 BHK,1204.0,2.0,45.0,2
Sarjapur  Road,2 BHK,1035.0,2.0,49.0,2
Sarjapur  Road,3 BHK,1457.0,3.0,85.0,3
Whitefield,3 BHK,1655.0,3.0,120.0,3
Ramagondanahalli,2 BHK,1215.0,2.0,46.1,2
Kanakpura Road,2 BHK,1155.0,2.0,50.125,2
Hoodi,3 BHK,1639.0,3.0,129.0,3
Sarjapur  Road,3 BHK,1685.0,3.0,135.0,3
Hormavu,2 BHK,1100.0,2.0,38.0,2
Marathahalli,3 BHK,2122.0,3.0,125.0,3
Kengeri,2 BHK,1230.0,2.0,45.0,2
Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3
8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1
Hebbal,3 BHK,1355.0,3.0,83.87,3
Sarjapur  Road,2 BHK,1350.0,2.0,68.0,2
Whitefield,4 BHK,4003.0,6.0,300.0,4
Haralur Road,3 BHK,1560.0,3.0,90.0,3
Anandapura,2 BHK,1151.0,2.0,43.16,2
Crimson Layout,2 BHK,1250.0,2.0,60.0,2
Chandapura,3 BHK,1110.0,2.0,29.97,3
Hennur Road,2 BHK,1015.0,2.0,50.0,2
Kadugodi,3 BHK,1351.0,2.0,78.0,3
Yelahanka New Town,2 BHK,960.0,2.0,50.0,2
R.T. Nagar,3 BHK,1680.0,3.0,72.0,3
Arekere,3 Bedroom,2400.0,3.0,180.0,3
Yemlur,4 Bedroom,11000.0,5.0,2000.0,4
Ramamurthy Nagar Extension,3 BHK,1350.0,3.0,48.6,3
Horamavu Banaswadi,2 BHK,1254.0,2.0,47.0,2
Haralur Road,3 BHK,1255.0,3.0,115.0,3
CV Raman Nagar,2 BHK,1051.0,2.0,61.0,2
Uttarahalli,2 BHK,1099.0,2.0,65.0,2
Hebbal,3 BHK,2650.0,4.0,199.0,3
Yeshwanthpur,2 BHK,1541.0,2.0,130.0,2
Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3
Whitefield,2 BHK,1125.0,2.0,45.0,2
Vittasandra,3 BHK,1650.0,3.0,85.0,3
Ashwini layout,1 BHK,834.0,1.0,62.0,1
Gollarapalya Hosahalli,3 BHK,1320.0,3.0,60.0,3
Mysore Road,3 BHK,1500.0,3.0,74.0,3
Whitefield,4 Bedroom,4400.0,5.0,500.0,4
Whitefield,2 BHK,1180.0,2.0,70.0,2
Kadugodi,2 BHK,1010.0,2.0,50.0,2
Iblur Village,3 BHK,1920.0,3.0,130.0,3
Kalena Agrahara,2 BHK,1040.0,2.0,45.0,2
Hulimavu,3 BHK,1430.0,2.0,90.0,3
Domlur,1 BHK,650.0,1.0,70.0,1
Thanisandra,3 BHK,1564.0,3.0,105.0,3
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,48.79,2
Begur Road,2 BHK,1200.0,2.0,44.4,2
Yelahanka,3 BHK,1650.0,3.0,105.0,3
Yelahanka,2 BHK,1200.0,2.0,55.0,2
Kengeri Satellite Town,2 BHK,985.0,2.0,42.0,2
Ramagondanahalli,3 BHK,1475.0,2.0,63.0,3
Hebbal,3 BHK,3450.0,5.0,348.0,3
Sarjapur  Road,3 BHK,1157.0,2.0,53.99,3
Canara Bank Colony,2 BHK,900.0,2.0,35.0,2
Sarjapur  Road,4 Bedroom,3800.0,3.0,325.0,4
Brookefield,5 Bedroom,1950.0,6.0,175.0,5
Kudlu,3 BHK,1570.0,2.0,65.94,3
Kanakapura,2 BHK,1283.0,2.0,68.0,2
Old Madras Road,4 BHK,3630.0,6.0,196.0,4
Yelahanka,2 BHK,990.0,2.0,37.62,2
Panathur,2 BHK,1199.0,2.0,85.0,2
Reliaable Tranquil Layout,2 BHK,1190.0,2.0,55.0,2
Harlur,2 BHK,1133.0,2.0,55.0,2
Somasundara Palya,4 BHK,2400.0,3.0,140.0,4
Begur Road,3 BHK,1565.0,2.0,49.3,3
Munnekollal,2 BHK,1080.0,2.0,45.0,2
Himagiri Meadows,3 Bedroom,1240.0,4.0,180.0,3
HRBR Layout,3 BHK,1335.0,2.0,87.0,3
HSR Layout,2 BHK,1140.0,2.0,46.0,2
Sarjapur  Road,3 BHK,1700.0,3.0,79.9,3
Electronic City,1 BHK,435.0,1.0,22.0,1
Magadi Road,2 BHK,1116.0,2.0,51.89,2
Old Madras Road,3 BHK,1480.0,3.0,95.0,3
Hormavu,2 BHK,1000.0,2.0,50.0,2
HSR Layout,2 BHK,1145.0,2.0,46.0,2
Bommasandra,2 BHK,800.0,1.0,32.0,2
Thanisandra,2 BHK,1265.0,2.0,83.0,2
Devanahalli,3 BHK,1700.0,3.0,88.2,3
Narayanappa Garden,2 BHK,1475.0,2.0,70.0,2
BTM 2nd Stage,2 BHK,1265.0,2.0,55.0,2
1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3
Brookefield,2 BHK,1080.0,2.0,50.0,2
Whitefield,3 BHK,2023.0,4.0,130.0,3
Kadubeesanahalli,3 BHK,1545.0,2.0,66.0,3
Kalena Agrahara,3 BHK,1804.0,3.0,166.0,3
Hoodi,2 BHK,1108.0,2.0,74.23,2
Marathahalli,3 BHK,1730.0,3.0,115.0,3
RWF West Colony,3 BHK,1427.0,2.0,70.0,3
Yelahanka,2 BHK,935.0,2.0,35.53,2
Sarjapura - Attibele Road,2 BHK,1073.0,2.0,31.77,2
Ananth Nagar,2 BHK,960.0,2.0,37.0,2
Thigalarapalya,3 BHK,2215.0,4.0,150.0,3
Electronic City Phase II,2 BHK,1125.0,2.0,32.49,2
7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2
Uttarahalli,3 BHK,1590.0,3.0,58.0,3
Seetharampalya,3 BHK,1350.0,3.0,68.0,3
Kaggadasapura,3 BHK,1560.0,2.0,72.0,3
Mallasandra,4 BHK,1810.0,3.0,57.0,4
Kanaka Nagar,3 BHK,2274.24,4.0,160.0,3
Sonnenahalli,3 BHK,1484.0,3.0,74.18,3
Indira Nagar,3 BHK,1650.0,3.0,220.0,3
Stage-4 Bommanahalli,3 BHK,1455.0,2.0,55.0,3
Thanisandra,3 BHK,2280.0,4.0,184.0,3
Bharathi Nagar,2 BHK,1351.0,2.0,74.0,2
KR Puram,3 BHK,1430.0,2.0,61.0,3
Whitefield,4 Bedroom,3589.0,5.0,400.0,4
Electronic City Phase II,3 BHK,1310.0,2.0,37.83,3
Sarjapur  Road,2 BHK,984.0,2.0,55.0,2
Jalahalli,3 BHK,1770.0,3.0,100.0,3
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2
Kanakpura Road,2 BHK,1296.0,2.0,89.0,2
Kempapura,3 BHK,1570.0,3.0,80.0,3
Nagappa Reddy Layout,3 BHK,1495.0,2.0,65.0,3
Hoodi,3 BHK,1530.0,2.0,67.0,3
Gunjur,3 BHK,1800.0,3.0,70.0,3
Bellandur,2 BHK,1088.0,2.0,48.0,2
Hosa Road,3 BHK,1533.0,3.0,98.18,3
Thubarahalli,3 BHK,1540.0,3.0,90.0,3
Hosa Road,2 BHK,1040.0,2.0,68.59,2
Uttarahalli,2 BHK,1180.0,2.0,41.3,2
Thigalarapalya,2 BHK,1245.0,2.0,100.0,2
Sarjapur,2 BHK,1124.0,2.0,30.35,2
Begur Road,2 BHK,1100.0,2.0,71.42,2
Vijayanagar,2 BHK,1019.0,2.0,58.0,2
Harlur,3 BHK,1756.0,3.0,128.0,3
Bommasandra,3 BHK,1280.0,3.0,50.0,3
Whitefield,3 BHK,2134.0,4.0,118.0,3
Hosa Road,2 BHK,1369.1,2.0,98.0,2
Carmelaram,3 BHK,2515.0,4.0,155.0,3
Thigalarapalya,3 BHK,2215.0,4.0,154.0,3
Basapura,3 BHK,1440.0,3.0,72.0,3
Hennur Road,3 BHK,1186.0,2.0,55.33,3
Hebbal,3 BHK,1800.0,3.0,140.0,3
Kudlu,3 BHK,1600.0,3.0,79.0,3
GM Palaya,2 BHK,1000.0,2.0,35.0,2
Banashankari Stage III,3 BHK,1305.0,2.0,59.0,3
Binny Pete,3 BHK,1740.0,3.0,150.0,3
Benson Town,2 BHK,1567.0,3.0,140.0,2
Kambipura,3 BHK,1082.0,2.0,45.5,3
Begur,3 Bedroom,3500.0,4.0,185.0,3
